trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.015, 'e': 0.6512296605275455}",25,0,-51.88787450671803,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
153,False,"{'a': 0.015, 'e': 0.6625391823215313}",25,5,-128.90652604034443,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",1
154,False,"{'a': 0.015, 'e': 0.6736996355945609}",20,0,-71.93685535254545,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
155,False,"{'a': 0.015, 'e': 0.6847085092917304}",30,0,-82.82965352635195,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
156,False,"{'a': 0.015, 'e': 0.695563326462902}",25,0,-102.88885652184582,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
157,False,"{'a': 0.015, 'e': 0.7062616448200052}",20,0,-58.99927120207431,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
158,False,"{'a': 0.015, 'e': 0.7168010572865429}",20,0,-54.3691668194967,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
159,False,"{'a': 0.015, 'e': 0.7271791925391726}",20,0,-24.786799447338048,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
160,False,"{'a': 0.015, 'e': 0.7373937155412454}",25,18,0.06986615489160863,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.015, 'e': 0.7474423280681779}",30,0,-72.21079905609757,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
162,False,"{'a': 0.015, 'e': 0.7573227692245434}",20,9,-54.85448382800519,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 0}",1
163,False,"{'a': 0.015, 'e': 0.7670328159527652}",25,0,-118.75423951305655,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
164,False,"{'a': 0.015, 'e': 0.776570283533293}",20,0,-92.35442085726987,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
165,False,"{'a': 0.015, 'e': 0.7859330260761572}",25,0,-150.3434874080203,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
166,False,"{'a': 0.015, 'e': 0.795118937003784}",25,0,-44.009823787100224,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
167,False,"{'a': 0.015, 'e': 0.8041259495249681}",25,0,-103.02200626061764,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
168,False,"{'a': 0.015, 'e': 0.81295203709989}",20,0,-81.99406633305684,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
